img,avg_stop_distance
214.jpg,420.9292089130663
215.jpg,372.324291174137
216.jpg,368.39397824183095
217.jpg,843.3681025114724
218.jpg,342.4002829061255
219.jpg,454.8269956775148
220.jpg,232.33427912304424
221.jpg,232.33427912304276
222.jpg,564.3660895412146
223.jpg,564.3695046645465
224.jpg,400.48668210406316
225.jpg,390.9845760181656
226.jpg,275.8793213999962
227.jpg,319.77640947210773
228.jpg,240.27672878591596
229.jpg,250.75629346318533
230.jpg,211.30228276896506
231.jpg,234.13555615686454
232.jpg,323.2307924272669
233.jpg,282.1998091416761
234.jpg,412.55329301046066
235.jpg,429.5665041896787
236.jpg,377.41740117345455
237.jpg,289.3891497799523
238.jpg,295.40489430433007
239.jpg,314.0659663291235
240.jpg,303.86463464949435
241.jpg,369.2283620575633
242.jpg,306.3430156934945
243.jpg,315.8105939253938
244.jpg,322.17325659489865
245.jpg,405.6721596026843
246.jpg,415.4797927319106
247.jpg,341.31313082754
248.jpg,328.57846148007036
249.jpg,604.8700069555654
250.jpg,332.4858808899912
251.jpg,415.4797927319106
252.jpg,380.55058035600547
253.jpg,652.67714554188
254.jpg,422.31520092971755
255.jpg,283.9945734932093
256.jpg,360.52076222407027
257.jpg,327.9398483541254
258.jpg,337.9936431259086
259.jpg,339.1254376809191
260.jpg,362.7903580587895
261.jpg,195.1301896668043
262.jpg,324.25599932303305
263.jpg,572.2323311736878
264.jpg,327.12080039797183
265.jpg,230.78305954308132
266.jpg,491.86658112747756
267.jpg,270.49662723883023
268.jpg,300.112044139513
269.jpg,204.76250576209617
270.jpg,266.71710806381753
271.jpg,493.1646202275477
272.jpg,231.8421489685371
273.jpg,246.87498806270642
274.jpg,237.92812504545512
275.jpg,260.64569734151854
276.jpg,209.50433268787194
277.jpg,207.44726469277848
278.jpg,226.02388968519125
279.jpg,479.95553721785694
280.jpg,411.0686957374549
281.jpg,243.93263590555975
282.jpg,238.99585182055864
283.jpg,191.3209046620133
284.jpg,207.82363397381437
285.jpg,235.945772812912
286.jpg,222.4397577048057
287.jpg,250.51823012064622
288.jpg,303.71420579464973
289.jpg,231.12576694408668
290.jpg,207.75601544540453
291.jpg,224.8503373106301
292.jpg,203.29245947945404
293.jpg,461.10348361422507
294.jpg,427.5409703847984
295.jpg,243.28846626456433
296.jpg,1029.2890153634396
297.jpg,1047.8540311404608
298.jpg,803.7738005430408
299.jpg,588.7352520289893
